id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,clock_rate,seq_length,model,saved_at
3_20_tips,0.0,0.0,4.260317079999998,1.492143830292431,20,,Phyloformer,5.084763526916504,0.0,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_50_tips,6.0,0.0638297872340425,3.182540747,0.8544765669535033,50,,Phyloformer,5.084763526916504,0.0,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_200_tips,42.0,0.1065989847715736,8.208682436999988,0.9625019847844763,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_200_tips,90.0,0.2284263959390862,3.761336119740004,0.5162585057848736,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_20_tips,8.0,0.2352941176470588,4.006988372400001,2.014728290584888,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_50_tips,30.0,0.3191489361702128,4.1275719992000015,1.2281469792106434,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_20_tips,2.0,0.0588235294117647,3.6917972869,1.3672532631636711,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
13_10_tips,4.0,0.2857142857142857,0.0886960637,0.0556009783048879,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
18_200_tips,40.0,0.1015228426395939,8.348540822299993,1.3828213813540688,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_20_tips,4.0,0.1176470588235294,1.8529337114,0.636108135162451,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_20_tips,0.0,0.0,6.994524695599999,2.484631975264444,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_50_tips,12.0,0.1276595744680851,3.3596607459000016,0.9539400241653212,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_10_tips,0.0,0.0,1.5599393783,0.7377764166632125,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_20_tips,0.0,0.0,3.6874678898,1.6683693028617557,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_50_tips,2.0,0.0212765957446808,10.8933564581,2.2225929403464706,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_200_tips,70.0,0.1776649746192893,5.9129252963000045,0.9304817880451656,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_10_tips,2.0,0.1428571428571428,1.2373338818,0.6582268137446111,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_50_tips,8.0,0.0851063829787234,1.1278974972999998,0.3061435759970721,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_10_tips,4.0,0.2857142857142857,2.4374417407,1.4166647251339484,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_10_tips,2.0,0.1428571428571428,1.3318510616,0.6608083978938197,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
16_100_tips,68.0,0.3505154639175257,2.3435846973800043,0.4651730015109135,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_20_tips,0.0,0.0,2.9322264046,0.9247758329275856,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_10_tips,4.0,0.2857142857142857,3.9228634174,1.882069311956592,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_100_tips,114.0,0.5876288659793815,0.3351658233999986,0.0576623135212652,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_50_tips,26.0,0.2765957446808511,7.789434940399999,2.284758367893294,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_50_tips,2.0,0.0212765957446808,2.777172662200001,0.7209054319681745,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_200_tips,40.0,0.1015228426395939,9.392288914399993,1.1695705142715929,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_200_tips,218.0,0.5532994923857868,0.8049053451800023,0.1018528410412046,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_20_tips,4.0,0.1176470588235294,1.3237277091,0.5186075213606076,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_100_tips,38.0,0.1958762886597938,2.103270317000004,0.4033536623476311,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_20_tips,0.0,0.0,3.1933327213,1.3420682834771585,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_20_tips,2.0,0.0588235294117647,1.0621980753,0.4295985557569548,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_200_tips,46.0,0.116751269035533,7.3026701358000015,0.8737507353152534,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_50_tips,24.0,0.2553191489361702,0.7656869960000006,0.1576061278969844,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_100_tips,16.0,0.0824742268041237,3.3496382562000027,0.5470670584577888,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_50_tips,24.0,0.2553191489361702,6.254230952300003,1.6178114830799588,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_200_tips,74.0,0.1878172588832487,8.0267681343,1.3067420745997933,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
13_20_tips,16.0,0.4705882352941176,0.0592494046,0.019645270577113,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
18_50_tips,30.0,0.3191489361702128,0.3304673832999996,0.0671261453603965,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_100_tips,18.0,0.0927835051546391,5.168569459000001,1.0662994584356142,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_100_tips,34.0,0.1752577319587628,2.101464232900001,0.3258514642708405,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_10_tips,0.0,0.0,1.5312135498999997,0.7505621738184292,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_50_tips,8.0,0.0851063829787234,6.65820475,1.4296871079698537,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_20_tips,0.0,0.0,2.0014606235,0.6326365861878996,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_200_tips,34.0,0.0862944162436548,8.163332322899995,0.9809710676051052,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_200_tips,112.0,0.2842639593908629,1.7879117642999969,0.2150184071965853,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
18_20_tips,4.0,0.1176470588235294,3.6932760406,1.4399546052183396,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_100_tips,14.0,0.0721649484536082,5.2092111044,1.009477614850893,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
16_50_tips,12.0,0.1276595744680851,1.0240807704,0.2060734580907285,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_200_tips,184.0,0.467005076142132,0.7360247779000023,0.083983201921767,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_50_tips,4.0,0.0425531914893617,5.092279790099997,1.80275053192214,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_200_tips,62.0,0.1573604060913705,7.016057604399999,1.015044336382252,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_100_tips,30.0,0.1546391752577319,2.715862393000001,0.4790683820581535,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_100_tips,24.0,0.1237113402061855,1.7828928444999983,0.3035004302218507,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
